,gen,avg,max
0,0,44.43333333333333,49.5
1,1,47.833333333333336,49.5
2,2,48.71666666666667,53.75
3,3,50.5,53.75
4,4,51.766666666666666,54.25
5,5,52.733333333333334,54.25
6,6,51.56666666666667,54.25
7,7,52.016666666666666,54.5
8,8,53.1,54.5
9,9,52.86666666666667,54.5
10,10,52.583333333333336,54.5
11,11,52.2,54.5
12,12,53.21666666666667,54.5
13,13,52.583333333333336,54.5
14,14,52.38333333333333,54.5
15,15,53.61666666666667,54.5
16,16,54.0,54.5
17,17,53.666666666666664,54.5
18,18,52.93333333333333,54.5
19,19,53.13333333333333,54.5
20,20,53.0,54.5
21,21,53.86666666666667,54.5
22,22,53.016666666666666,54.5
23,23,53.78333333333333,54.5
24,24,53.083333333333336,54.5
25,25,54.5,54.5
26,26,53.75,54.5
27,27,53.8,54.5
28,28,52.2,55.0
29,29,53.2,55.0
30,30,53.766666666666666,55.0
31,31,53.266666666666666,55.0
32,32,53.86666666666667,55.0
33,33,54.7,55.0
34,34,53.03333333333333,55.0
35,35,52.18333333333333,55.0
36,36,52.916666666666664,55.5
37,37,54.31666666666667,55.5
38,38,53.18333333333333,55.5
39,39,54.65,55.5
40,40,54.3,55.5
41,41,55.43333333333333,56.25
42,42,55.2,56.25
43,43,54.36666666666667,56.25
44,44,54.11666666666667,56.25
45,45,54.31666666666667,56.25
46,46,54.95,56.25
47,47,55.233333333333334,57.0
48,48,54.4,57.0
49,49,55.13333333333333,57.0
50,50,53.25,57.0
